COUNTRY_NAME,DESIGNATION,OFFICIAL_NAME,OFFICIAL_NAME_URL
Argentina,Vice President,Cristina Fernández de Kirchner,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Cristina_Fern%C3%A1ndez_de_Kirchner_en_la_Apertura_de_Sesiones_Ordinarias_2022_%28cropped%29.jpg/220px-Cristina_Fern%C3%A1ndez_de_Kirchner_en_la_Apertura_de_Sesiones_Ordinarias_2022_%28cropped%29.jpg
Argentina,Chief of the Cabinet of Ministers,Juan Luis Manzur,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Manzur_y_Trotta_%28cropped%29.jpg/220px-Manzur_y_Trotta_%28cropped%29.jpg
Argentina,President of the Chamber of Deputies,Cecilia Moreau,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Cecilia_Moreau_2022_%28cropped%29.jpg/220px-Cecilia_Moreau_2022_%28cropped%29.jpg
Argentina,President of Supreme Court,Horacio Rosatti,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Horacio_Rosatti.jpg/210px-Horacio_Rosatti.jpg
Armenia,President,Vahagn Khachaturyan,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/President_of_the_Republic_of_Armenia_Vahagn_Khachaturyan_%28cropped%29.jpg/220px-President_of_the_Republic_of_Armenia_Vahagn_Khachaturyan_%28cropped%29.jpg
Armenia,Prime Minister,Nikol Pashinyan,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB_%D0%9F%D0%B0%D1%88%D0%B8%D0%BD%D1%8F%D0%BD_%2820-04-2022%29_2.jpg/220px-%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB_%D0%9F%D0%B0%D1%88%D0%B8%D0%BD%D1%8F%D0%BD_%2820-04-2022%29_2.jpg
Armenia,President of the National Assembly,Alen Simonyan,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Alen_Simonyan1.jpg/220px-Alen_Simonyan1.jpg
Aruba,Monarch,Willem-Alexander,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Zijne_Majesteit_Koning_Willem-Alexander_met_koningsmantel_april_2013_%28cropped%29.jpeg/220px-Zijne_Majesteit_Koning_Willem-Alexander_met_koningsmantel_april_2013_%28cropped%29.jpeg
Aruba,Governor,Alfonso Boekhoudt,https://dataverse.fcsc.gov.ae/content/Default/no-image.jpg
Aruba,Prime Minister,Evelyn Wever-Croes,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Evelyn_Wever-Croes%2C_2022.jpg/220px-Evelyn_Wever-Croes%2C_2022.jpg
Australia,Monarch,Charles III,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Charles_Prince_of_Wales.jpg/220px-Charles_Prince_of_Wales.jpg
Australia,Governor-General,David Hurley,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/David_Hurley_official_photo_%28cropped%29.jpg/220px-David_Hurley_official_photo_%28cropped%29.jpg
Australia,Prime Minister,Anthony Albanese,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Anthony_Albanese_portrait_%28cropped%29.jpg/220px-Anthony_Albanese_portrait_%28cropped%29.jpg
Austria,President,Alexander Van der Bellen,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Alexander_Van_der_Bellen_%2813-07-2021%29_%28cropped%29.jpg/220px-Alexander_Van_der_Bellen_%2813-07-2021%29_%28cropped%29.jpg
Austria,Chancellor,Karl Nehammer,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/2020_Karl_Nehammer_Ministerrat_am_8.1.2020_%2849351366976%29_%28cropped%29_%28cropped%29.jpg/220px-2020_Karl_Nehammer_Ministerrat_am_8.1.2020_%2849351366976%29_%28cropped%29_%28cropped%29.jpg
Azerbaijan,President,Ilham Aliyev,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Ilham_Aliyev_2022_%28cropped%29.jpg/220px-Ilham_Aliyev_2022_%28cropped%29.jpg
Azerbaijan,Vice President,Mehriban Aliyeva,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Mehriban_Aliyeva_on_2021_IDWGS_%28cropped%29.jpg/220px-Mehriban_Aliyeva_on_2021_IDWGS_%28cropped%29.jpg
Azerbaijan,Prime Minister,Ali Asadov,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/%D0%90%D0%BB%D0%B8_%D0%90%D1%81%D0%B0%D0%B4%D0%BE%D0%B2_%2825-08-2022%29.jpg/220px-%D0%90%D0%BB%D0%B8_%D0%90%D1%81%D0%B0%D0%B4%D0%BE%D0%B2_%2825-08-2022%29.jpg
Azerbaijan,National Assembly Speaker,Sahiba Gafarova,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Sahiba_Gafarova_%2823-09-2020%29.jpg/220px-Sahiba_Gafarova_%2823-09-2020%29.jpg
Bahamas,Monarch,Charles III,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Charles_Prince_of_Wales.jpg/220px-Charles_Prince_of_Wales.jpg
Bahamas,Governor-General,Sir Cornelius A. Smith,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/BOOK_OF_CONDOLENCE_%2852364748820%29_%28cropped%29.jpg/220px-BOOK_OF_CONDOLENCE_%2852364748820%29_%28cropped%29.jpg
Bahamas,Prime Minister,Philip Davis,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Philip_%22Brave%22_Davis_%28profile%29.jpg/220px-Philip_%22Brave%22_Davis_%28profile%29.jpg
Bahrain,King,Hamad bin Isa Al Khalifa,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Hamad-Bin-Isa-Al-Khalifa_%28cropped%29.jpg/220px-Hamad-Bin-Isa-Al-Khalifa_%28cropped%29.jpg
Bahrain,Crown Prince,Salman bin Hamad Al Khalifa,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/2021_Crown_Prince_of_Bahrain.jpg/220px-2021_Crown_Prince_of_Bahrain.jpg
Bangladesh,President,Abdul Hamid,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/President_of_People%E2%80%99s_Republic_of_Bangladesh%2C_Mr._Md._Abdul_Hamid%2C_at_Hyderabad_House%2C_in_New_Delhi_on_May_31%2C_2019.jpg/220px-President_of_People%E2%80%99s_Republic_of_Bangladesh%2C_Mr._Md._Abdul_Hamid%2C_at_Hyderabad_House%2C_in_New_Delhi_on_May_31%2C_2019.jpg
Bangladesh,Prime Minister,Sheikh Hasina,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Sheikh_Hasina_in_New_York_-_2018_%2844057292035%29_%28cropped%29.jpg/220px-Sheikh_Hasina_in_New_York_-_2018_%2844057292035%29_%28cropped%29.jpg
Bangladesh,House Speaker,Shirin Sharmin Chaudhury,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Shirin_Sharmin_Chaudhury.JPG/220px-Shirin_Sharmin_Chaudhury.JPG
Bangladesh,Chief Justice,Hasan Foez Siddique,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Hasan_Foez_Siddique_2022.jpg/220px-Hasan_Foez_Siddique_2022.jpg
Bangladesh,Cabinet Secretary,Kabir Bin Anwar,https://dataverse.fcsc.gov.ae/content/Default/no-image.jpg
Barbados,President,Sandra Mason,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Sandra_of_Barbados.jpg/220px-Sandra_of_Barbados.jpg
Barbados,Prime Minister,Mia Mottley,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Mia_Mottley_%282021%29_%28cropped%29.jpg/220px-Mia_Mottley_%282021%29_%28cropped%29.jpg
Belarus,President,Alexander Lukashenko,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Alexander_Lukashenko_2022_%28cropped%29.jpg/220px-Alexander_Lukashenko_2022_%28cropped%29.jpg
Belarus,Prime Minister,Roman Golovchenko,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Roman_Golovchenko_%2828-04-2021%29.jpg/220px-Roman_Golovchenko_%2828-04-2021%29.jpg
Belgium,Monarch,Philippe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Sergio_Mattarella_and_Belgian_King_Philippe_at_Quirinale_in_2021_%286%29_%28cropped%29.jpg/220px-Sergio_Mattarella_and_Belgian_King_Philippe_at_Quirinale_in_2021_%286%29_%28cropped%29.jpg
Belgium,Prime Minister,Alexander De Croo,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/First_Minister_Nicola_Sturgeon_meets_with_the_Prime_Minister_of_Belgium_Alexander_De_Croo_at_COP26._%2851650292908%29_%28cropped%29.jpg/220px-First_Minister_Nicola_Sturgeon_meets_with_the_Prime_Minister_of_Belgium_Alexander_De_Croo_at_COP26._%2851650292908%29_%28cropped%29.jpg
Belize,Monarch,Charles III,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Charles_Prince_of_Wales.jpg/220px-Charles_Prince_of_Wales.jpg
Belize,Governor-General,Dame Froyla Tzalam,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Platinum_Jubilee-_Belize_bilateral_%28cropped%29.jpg/220px-Platinum_Jubilee-_Belize_bilateral_%28cropped%29.jpg
Belize,Prime Minister,Johnny Briceño,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Johnny_Brice%C3%B1o_%2852135383761%29_%28cropped%29.jpg/220px-Johnny_Brice%C3%B1o_%2852135383761%29_%28cropped%29.jpg
Benin,President,Patrice Talon,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Patrice_Talon_at_USAID_HQ_%284%29_%28cropped%29.jpg/220px-Patrice_Talon_at_USAID_HQ_%284%29_%28cropped%29.jpg
Benin,Vice President,Mariam Chabi Talata,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/TALATA-01W_%28cropped%29.jpg/220px-TALATA-01W_%28cropped%29.jpg
Bermuda,Monarch,Charles III,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Charles_Prince_of_Wales.jpg/220px-Charles_Prince_of_Wales.jpg
Bermuda,Governor,Rena Lalgie,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/S300_Rena_Lalgie_photo_%28cropped%29.jpg/220px-S300_Rena_Lalgie_photo_%28cropped%29.jpg
Bermuda,Premier,Edward David Burt,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Edward_David_Burt_2017.jpg/220px-Edward_David_Burt_2017.jpg
Bhutan,Druk Gyalpo,Jigme Khesar Namgyel Wangchuck,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Jigme_Khesar_Namgyel_Wangchuck_at_the_Enthronement_of_Naruhito.jpg/220px-Jigme_Khesar_Namgyel_Wangchuck_at_the_Enthronement_of_Naruhito.jpg
Bhutan,Prime Minister,Lotay Tshering,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Lotay_Tshering_December_2018_crop.jpg/220px-Lotay_Tshering_December_2018_crop.jpg
Bolivia (Plurinational State of),President,Luis Arce,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Luis_Arce_%28Official_Photo%2C_2020%29_Cropped_I.png/220px-Luis_Arce_%28Official_Photo%2C_2020%29_Cropped_I.png
Bolivia (Plurinational State of),Vice President,David Choquehuanca,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/David_Choquehuanca_C%C3%A9spedes_%28Official_Portrait%2C_2020%29_Cropped_I.jpg/220px-David_Choquehuanca_C%C3%A9spedes_%28Official_Portrait%2C_2020%29_Cropped_I.jpg
Bolivia (Plurinational State of),President of the Senate,Andrónico Rodríguez,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Andr%C3%B3nico_Rodr%C3%ADguez_Ledezma_%28Official_Photo%2C_2020%29_Chamber_of_Senators_of_Bolivia.jpg/220px-Andr%C3%B3nico_Rodr%C3%ADguez_Ledezma_%28Official_Photo%2C_2020%29_Chamber_of_Senators_of_Bolivia.jpg
Bolivia (Plurinational State of),President of the Chamber of Deputies,Jerges Mercado,https://dataverse.fcsc.gov.ae/content/Default/no-image.jpg
"Bonaire, Sint Eustatius and Saba",Monarch,Willem-Alexander,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Zijne_Majesteit_Koning_Willem-Alexander_met_koningsmantel_april_2013_%28cropped%29.jpeg/220px-Zijne_Majesteit_Koning_Willem-Alexander_met_koningsmantel_april_2013_%28cropped%29.jpeg
"Bonaire, Sint Eustatius and Saba",Lt. Governors,Edison Rijna,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/EdisonRijna.jpg/220px-EdisonRijna.jpg
Bosnia and Herzegovina,High Representative,Christian Schmidt,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Christian_Schmidt_%2851554749990%29_%28cropped%29.jpg/220px-Christian_Schmidt_%2851554749990%29_%28cropped%29.jpg
Bosnia and Herzegovina,Chairman of the Presidency,Željka Cvijanović,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/%C5%BDeljka_Cvijanovi%C4%87_%28cropped%29.jpg/200px-%C5%BDeljka_Cvijanovi%C4%87_%28cropped%29.jpg
Bosnia and Herzegovina,Members of the Presidency,Željko Komšić,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/%C5%BDeljko_Kom%C5%A1i%C4%87_2021.jpg/200px-%C5%BDeljko_Kom%C5%A1i%C4%87_2021.jpg
Bosnia and Herzegovina,Chairman of the Council of Ministers,Zoran Tegeltija,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/P059246-371454_%28cropped%29.jpg/200px-P059246-371454_%28cropped%29.jpg
Botswana,President,Mokgweetsi Masisi,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Mokgweetsi_E.K._Masisi%2C_President_of_the_Republic_of_Botswana.jpg/220px-Mokgweetsi_E.K._Masisi%2C_President_of_the_Republic_of_Botswana.jpg
Botswana,Vice-President,Slumber Tsogwane,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Slumber_Tsogwane.JPG/220px-Slumber_Tsogwane.JPG
Botswana,National Assembly Speaker,Phandu Skelemani,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Phandu_Skelemani_2014.png/220px-Phandu_Skelemani_2014.png
Bouvet Island,Monarch,Harald V,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/King_Harald_V_of_Norway_%2829227859394%29_%28cropped%29.jpg/220px-King_Harald_V_of_Norway_%2829227859394%29_%28cropped%29.jpg
Brazil,President,Jair Bolsonaro,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Jair_Bolsonaro_em_24_de_abril_de_2019_%281%29_%28cropped%29.jpg/220px-Jair_Bolsonaro_em_24_de_abril_de_2019_%281%29_%28cropped%29.jpg
Brazil,Vice President,Hamilton Mourão,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Hamilton_Mour%C3%A3o%2C_vice-presidente_do_Brasil_%28cropped%29.jpg/220px-Hamilton_Mour%C3%A3o%2C_vice-presidente_do_Brasil_%28cropped%29.jpg
Brazil,President of theChamber of Deputies,Arthur Lira,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Deputado_Arthur_Lira_em_2016_%28cropped%29.jpg/220px-Deputado_Arthur_Lira_em_2016_%28cropped%29.jpg
Brazil,President of the Federal Senate,Rodrigo Pacheco,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Senador_Rodrigo_Pacheco.jpg/220px-Senador_Rodrigo_Pacheco.jpg
Brazil,President of the,Rosa Weber,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Rosa_Weber_em_outubro_de_2019.jpg/220px-Rosa_Weber_em_outubro_de_2019.jpg
British Indian Ocean Territory,Monarch,Charles III,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Charles_Prince_of_Wales.jpg/220px-Charles_Prince_of_Wales.jpg
British Indian Ocean Territory,Commissioner,Paul Candler,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Paul_Candler.jpg/220px-Paul_Candler.jpg
